car_id,brand,model,year,engine_hp,engine_cylinders,fuel_type,transmission,driven_wheels,doors,market_category,price,popularity_score,popularity_level
46,Kia,Sportage,2022,102,4,Hybrid,CVT,FWD,4,SUV,24574,635,Medium
47,Aston Martin,DB11,2022,182,4,Diesel,Automatic,FWD,4,Sedan,40162,675,High
48,BMW,5 Series,2023,604,12,Diesel,CVT,AWD,4,SUV,60687,746,High
49,Subaru,Outback,2019,136,4,Petrol,CVT,FWD,4,SUV,35547,501,Low
50,Honda,Accord,2017,364,8,Diesel,Automatic,RWD,5,Sedan,38539,649,High
51,Cadillac,XT5,2019,241,6,Hybrid,Automatic,AWD,4,Hatchback,32693,673,High
52,Alfa Romeo,Stelvio,2021,161,4,Petrol,Automatic,FWD,5,SUV,30044,603,Medium
53,Hyundai,Elantra,2022,200,6,Electric,Automatic,FWD,5,Truck,31521,608,Medium
54,Cadillac,XT5,2016,293,6,Petrol,Automatic,RWD,5,Van,38127,490,Low
55,Toyota,RAV4,2022,199,4,Electric,Automatic,AWD,4,Hatchback,33334,587,Medium
56,Alfa Romeo,Giulia,2023,170,4,Petrol,Manual,FWD,4,Coupe,36678,545,Low
57,Mini,Cooper,2015,171,4,Diesel,CVT,FWD,4,Coupe,20658,467,Low
58,Ram,2500,2017,389,8,Petrol,CVT,FWD,4,SUV,36801,573,Low
59,Honda,CR-V,2018,306,6,Hybrid,CVT,FWD,4,Sedan,29626,652,High
60,Alfa Romeo,Giulia,2019,161,4,Petrol,Manual,FWD,2,SUV,35338,553,Low
61,Ferrari,Portofino,2022,266,6,Petrol,CVT,FWD,4,Truck,30999,660,High
62,Jeep,Wrangler,2017,168,4,Petrol,Automatic,AWD,4,SUV,24715,547,Low
63,Chevrolet,Tahoe,2024,337,6,Hybrid,CVT,AWD,4,SUV,47416,744,High
64,Tesla,Model X,2019,122,4,Electric,Manual,FWD,4,Sedan,29289,667,High
65,Toyota,Highlander,2016,177,4,Petrol,Automatic,FWD,4,SUV,23579,507,Low
66,Cadillac,XT5,2015,151,4,Petrol,Automatic,FWD,5,Hatchback,27530,428,Low
67,Chevrolet,Tahoe,2021,157,4,Petrol,CVT,FWD,4,Coupe,37336,591,Medium
68,Alfa Romeo,Giulia,2015,119,4,Petrol,Manual,RWD,4,SUV,14821,518,Low
69,Cadillac,Escalade,2021,226,4,Hybrid,CVT,FWD,5,SUV,45595,757,High
70,Suzuki,Swift,2018,296,6,Diesel,Automatic,FWD,4,Sedan,26031,539,Low
71,BMW,X3,2022,292,6,Hybrid,Automatic,AWD,4,Sedan,37386,691,High
72,Tesla,Model 3,2024,156,4,Petrol,CVT,RWD,4,Truck,40922,627,Medium
73,Hyundai,Santa Fe,2015,322,6,Petrol,Automatic,AWD,2,SUV,30845,511,Low
74,Volvo,XC60,2020,143,4,Diesel,Automatic,RWD,5,Van,32494,545,Low
75,Mini,Cooper,2020,115,4,Petrol,CVT,FWD,4,Sedan,28275,606,Medium
76,Cadillac,Escalade,2024,197,4,Petrol,Automatic,AWD,4,SUV,35028,727,High
77,Lexus,RX,2016,388,8,Hybrid,Automatic,FWD,4,Coupe,41440,622,Medium
78,Genesis,GV80,2023,142,4,Petrol,Automatic,RWD,4,SUV,35563,661,High
79,Nissan,Sentra,2018,104,4,Petrol,Automatic,FWD,5,Sedan,24390,475,Low
80,Hyundai,Tucson,2017,180,4,Diesel,Automatic,FWD,2,SUV,25806,409,Low
81,Honda,Civic,2017,113,4,Hybrid,CVT,AWD,5,Van,21734,595,Medium
82,Kia,Sportage,2020,144,4,Hybrid,Automatic,RWD,4,Sedan,36314,602,Medium
83,Genesis,GV70,2017,227,4,Petrol,Automatic,AWD,4,Truck,28165,504,Low
84,Hyundai,Elantra,2023,205,4,Petrol,Automatic,FWD,4,Hatchback,39456,626,Medium
85,Audi,A6,2016,414,8,Electric,Automatic,RWD,4,SUV,35773,687,High
86,Ford,F-150,2024,187,4,Electric,Automatic,RWD,4,Sedan,45291,715,High
87,Kia,K5,2021,90,4,Petrol,Automatic,FWD,5,Hatchback,26397,601,Medium
88,Alfa Romeo,Stelvio,2018,211,4,Petrol,Automatic,RWD,5,Hatchback,31598,520,Low
89,Jeep,Cherokee,2015,616,12,Petrol,Manual,FWD,4,Sedan,39388,565,Low
90,Kia,Telluride,2022,163,4,Diesel,Automatic,FWD,5,SUV,40050,657,High
91,Toyota,Highlander,2019,451,8,Hybrid,CVT,RWD,4,SUV,45787,696,High
92,Mazda,CX-50,2020,270,6,Petrol,CVT,FWD,4,SUV,39162,606,Medium
93,Honda,Accord,2021,227,6,Diesel,Manual,FWD,4,Hatchback,34858,572,Low
94,Ford,Escape,2017,90,4,Petrol,Automatic,AWD,4,SUV,22911,449,Low
95,Audi,A6,2021,154,4,Electric,Automatic,RWD,2,SUV,39378,669,High
96,Ferrari,Portofino,2023,136,4,Diesel,Automatic,RWD,4,Sedan,38659,561,Low
97,Aston Martin,DB11,2022,299,6,Hybrid,Automatic,FWD,4,SUV,44301,738,High
98,Mazda,Mazda6,2017,450,8,Hybrid,Automatic,FWD,4,Hatchback,38019,619,Medium
99,Ford,F-150,2018,670,12,Petrol,Automatic,FWD,4,Truck,50918,675,High
100,Mini,Cooper,2017,379,8,Diesel,Manual,AWD,4,SUV,34618,624,Medium
101,Jeep,Wrangler,2024,659,12,Petrol,Manual,AWD,5,SUV,59111,733,High
102,Ram,ProMaster,2018,275,6,Hybrid,CVT,FWD,4,Coupe,30682,629,Medium
103,Ford,Explorer,2023,128,4,Petrol,Automatic,FWD,2,Sedan,36996,604,Medium
104,Jeep,Compass,2023,203,4,Petrol,CVT,AWD,4,Hatchback,37198,648,High
105,Audi,A6,2022,155,4,Hybrid,Automatic,FWD,4,Sedan,40457,698,High
106,BMW,3 Series,2016,403,8,Petrol,CVT,FWD,4,SUV,33952,638,Medium
107,Buick,Enclave,2016,241,4,Diesel,Automatic,AWD,4,SUV,35212,580,Medium
108,Toyota,Highlander,2021,160,4,Petrol,Automatic,AWD,5,SUV,33495,577,Low
109,Kia,Telluride,2020,306,6,Petrol,Manual,FWD,5,SUV,38854,694,High
110,Chevrolet,Tahoe,2024,117,4,Petrol,Automatic,FWD,4,Sedan,35230,611,Medium
111,BMW,3 Series,2016,431,8,Petrol,Automatic,FWD,4,Sedan,33351,547,Low
112,Alfa Romeo,Stelvio,2015,200,4,Petrol,Automatic,FWD,5,Coupe,26098,549,Low
113,Toyota,Camry,2019,113,4,Electric,Automatic,AWD,4,Van,27050,550,Low
114,Porsche,Cayenne,2016,136,4,Petrol,Manual,AWD,4,SUV,28193,559,Low
115,Alfa Romeo,Stelvio,2024,129,4,Petrol,Automatic,RWD,4,SUV,37626,689,High
116,Nissan,Rogue,2015,150,4,Hybrid,Automatic,FWD,4,Coupe,17863,511,Low
117,Porsche,911,2021,134,4,Electric,Automatic,AWD,4,Sedan,40376,693,High
118,Toyota,Corolla,2022,399,8,Petrol,Automatic,FWD,5,SUV,50093,645,Medium
119,Hyundai,Santa Fe,2016,244,6,Petrol,Automatic,AWD,5,Hatchback,22777,491,Low
120,Nissan,Altima,2016,302,8,Petrol,Automatic,AWD,4,SUV,27167,463,Low
121,Mini,Cooper,2023,196,4,Petrol,CVT,FWD,4,SUV,36279,585,Medium
122,Nissan,Murano,2021,90,4,Petrol,Automatic,FWD,4,Sedan,25848,552,Low
123,Mazda,Mazda3,2023,634,12,Petrol,Automatic,AWD,4,SUV,59110,717,High
124,Aston Martin,DB11,2024,109,4,Hybrid,Automatic,AWD,2,Truck,41234,818,High
125,Ford,Explorer,2020,430,8,Diesel,Automatic,FWD,2,Truck,42884,688,High
126,Ferrari,488 GTB,2015,399,8,Hybrid,CVT,AWD,5,Truck,32956,643,Medium
127,Lexus,IS,2023,623,12,Hybrid,Automatic,FWD,4,SUV,63126,738,High
128,Mini,Countryman,2019,421,8,Diesel,Manual,FWD,4,Van,39464,592,Medium
129,Aston Martin,DB11,2017,177,4,Petrol,Manual,FWD,4,Truck,28411,595,Medium
130,Mini,Countryman,2021,433,8,Electric,Automatic,FWD,4,SUV,44531,678,High
131,Lexus,RX,2016,181,4,Diesel,Automatic,FWD,4,Coupe,25223,497,Low
132,Honda,CR-V,2019,131,4,Petrol,Automatic,AWD,4,SUV,31668,538,Low
133,Mercedes,GLC,2021,172,4,Electric,Automatic,AWD,4,Sedan,34071,622,Medium
134,Mazda,Mazda6,2021,370,8,Diesel,Automatic,RWD,4,Truck,44567,713,High
135,Tesla,Model 3,2022,90,4,Petrol,Automatic,FWD,4,SUV,34119,611,Medium
136,Honda,Civic,2024,182,4,Petrol,Automatic,RWD,5,Hatchback,39937,703,High
137,Chevrolet,Tahoe,2016,116,4,Petrol,Automatic,RWD,4,Sedan,24657,477,Low
138,Suzuki,Swift,2019,326,8,Petrol,Automatic,FWD,4,SUV,35144,655,High
139,Hyundai,Tucson,2016,200,4,Petrol,Automatic,FWD,5,Truck,23392,390,Low
140,Aston Martin,DB11,2021,325,8,Electric,Automatic,FWD,3,Sedan,45083,730,High
141,Lexus,IS,2020,453,8,Petrol,Automatic,AWD,5,Van,44685,684,High
142,Mazda,CX-5,2017,230,6,Electric,Automatic,RWD,4,Sedan,26867,574,Low
143,Mazda,Mazda3,2023,289,6,Petrol,Automatic,AWD,4,Truck,40778,617,Medium
144,Audi,Q7,2017,631,12,Petrol,Automatic,FWD,4,Hatchback,47814,593,Medium
145,Mercedes,GLC,2015,260,6,Electric,Manual,FWD,4,Hatchback,25850,468,Low
146,Nissan,Altima,2016,168,4,Petrol,Automatic,AWD,4,Coupe,24902,485,Low
147,Alfa Romeo,Giulia,2017,332,6,Hybrid,Manual,FWD,4,Sedan,35882,617,Medium
148,Alfa Romeo,Stelvio,2023,256,4,Petrol,Automatic,FWD,5,SUV,36816,671,High
149,Toyota,Camry,2016,340,6,Hybrid,Automatic,AWD,5,Hatchback,31093,607,Medium
150,Kia,Sportage,2021,285,6,Petrol,Automatic,AWD,5,SUV,39789,587,Medium
151,Suzuki,Swift,2022,148,4,Petrol,Automatic,RWD,4,SUV,31666,547,Low
152,Audi,Q7,2022,289,6,Diesel,Automatic,AWD,5,Coupe,52078,632,Medium
153,Jeep,Compass,2019,616,12,Petrol,Automatic,AWD,4,Hatchback,40445,624,Medium
154,Kia,Sportage,2022,119,4,Diesel,Automatic,AWD,2,Sedan,33772,691,High
155,Toyota,Corolla,2018,394,8,Petrol,Automatic,AWD,2,Coupe,30673,521,Low
156,Mercedes,GLC,2020,289,6,Petrol,Automatic,FWD,5,Coupe,29012,586,Medium
157,Chevrolet,Silverado,2019,281,6,Petrol,CVT,AWD,4,SUV,32964,643,Medium
158,Alfa Romeo,Stelvio,2018,194,4,Petrol,Manual,FWD,2,Van,30783,477,Low
159,Porsche,911,2022,317,6,Electric,Automatic,RWD,4,SUV,39645,728,High
160,Mini,Countryman,2017,134,4,Petrol,CVT,FWD,4,Hatchback,26021,474,Low
161,Mercedes,E-Class,2021,479,8,Petrol,Automatic,FWD,4,SUV,43051,654,High
162,Ram,3500,2021,252,6,Petrol,Automatic,FWD,3,Sedan,49773,613,Medium
163,Mitsubishi,Lancer,2019,206,4,Diesel,CVT,RWD,4,SUV,35094,601,Medium
164,Chevrolet,Malibu,2024,96,4,Petrol,CVT,FWD,4,Sedan,38956,646,Medium
165,Mini,Countryman,2022,170,4,Diesel,Automatic,AWD,4,SUV,34921,600,Medium
166,Mitsubishi,Outlander,2017,409,8,Petrol,Automatic,AWD,5,Sedan,36472,599,Medium
167,Porsche,Panamera,2024,642,12,Diesel,Automatic,AWD,5,Sedan,59091,819,High
168,Subaru,Forester,2024,640,12,Electric,Automatic,FWD,4,SUV,64095,859,High
169,Mazda,CX-5,2022,90,4,Petrol,Automatic,FWD,5,SUV,33736,537,Low
170,Toyota,Highlander,2018,149,4,Diesel,Automatic,FWD,2,SUV,29914,526,Low
171,Volvo,XC60,2019,178,4,Petrol,CVT,AWD,2,Sedan,29876,583,Medium
172,Mercedes,GLE,2021,334,6,Diesel,CVT,RWD,4,SUV,35196,678,High
173,Volkswagen,Jetta,2022,174,4,Petrol,Automatic,RWD,5,Hatchback,38814,526,Low
174,Porsche,Macan,2017,135,4,Petrol,Automatic,FWD,4,Hatchback,30294,574,Low
175,Toyota,Corolla,2024,637,12,Petrol,Automatic,AWD,5,Van,57688,524,Low
176,Volvo,S90,2021,90,4,Diesel,Automatic,AWD,2,Coupe,35519,582,Medium
177,Kia,K5,2024,330,6,Petrol,Automatic,FWD,4,Truck,43712,774,High
178,Nissan,Altima,2023,141,4,Diesel,CVT,FWD,4,Van,28923,503,Low
179,Volkswagen,Jetta,2015,119,4,Hybrid,Automatic,FWD,5,SUV,23133,447,Low
180,Jeep,Wrangler,2016,408,8,Petrol,Automatic,FWD,4,Sedan,32251,493,Low
181,Mazda,CX-5,2020,162,4,Petrol,Automatic,FWD,4,Sedan,38093,587,Medium
182,Nissan,Murano,2023,126,4,Diesel,Automatic,FWD,4,SUV,29905,591,Medium
183,Ferrari,488 GTB,2015,362,6,Hybrid,Automatic,AWD,4,Truck,28631,574,Low
184,Lexus,NX,2016,110,4,Electric,Manual,FWD,5,SUV,29441,611,Medium
185,Ford,F-150,2015,400,8,Petrol,Automatic,FWD,4,Truck,30155,587,Medium
186,Tesla,Model S,2023,137,4,Petrol,CVT,FWD,4,Van,41103,587,Medium
187,Nissan,Rogue,2017,352,6,Petrol,Automatic,FWD,4,SUV,29449,460,Low
188,Cadillac,XT5,2020,255,4,Electric,Automatic,FWD,4,Sedan,39778,715,High
189,Ferrari,488 GTB,2021,274,6,Hybrid,CVT,FWD,4,SUV,37749,697,High
190,Toyota,Camry,2024,134,4,Petrol,Manual,FWD,4,Sedan,32267,549,Low
191,Nissan,Murano,2018,182,4,Petrol,Manual,FWD,5,Van,27210,431,Low
192,Kia,Sportage,2022,315,6,Hybrid,CVT,FWD,5,Hatchback,40953,605,Medium
193,Aston Martin,DB11,2022,118,4,Diesel,Manual,AWD,5,SUV,33464,662,High
194,Mazda,CX-50,2015,162,4,Petrol,Automatic,FWD,5,Sedan,25408,520,Low
195,Tesla,Model 3,2019,192,4,Petrol,Automatic,FWD,4,SUV,33262,711,High
196,Mini,Cooper,2024,396,8,Petrol,Automatic,FWD,5,SUV,47597,797,High
197,Lexus,RX,2022,180,4,Diesel,CVT,FWD,4,Sedan,35354,582,Medium
198,Buick,Enclave,2016,200,4,Diesel,Automatic,FWD,4,Sedan,29405,587,Medium
199,Honda,Pilot,2016,357,8,Electric,Automatic,FWD,4,SUV,34899,652,High
200,Genesis,GV70,2015,94,4,Diesel,Automatic,RWD,3,Truck,19795,506,Low
201,Kia,K5,2018,220,6,Petrol,Manual,FWD,4,SUV,31108,574,Low
202,Nissan,Altima,2018,269,6,Hybrid,Automatic,RWD,5,SUV,32363,607,Medium
203,Subaru,WRX,2021,616,12,Petrol,Manual,RWD,4,Coupe,54159,655,High
204,Volvo,S90,2021,361,6,Hybrid,CVT,FWD,4,Sedan,43460,691,High
205,BMW,X5,2018,274,6,Petrol,Manual,AWD,5,Sedan,37006,519,Low
206,Volvo,XC60,2018,118,4,Petrol,Automatic,FWD,2,Coupe,26490,551,Low
207,Chevrolet,Tahoe,2019,127,4,Diesel,Automatic,RWD,5,Van,30578,555,Low
208,Volkswagen,Golf,2017,177,4,Hybrid,Automatic,AWD,2,Sedan,29124,555,Low
209,Aston Martin,DB11,2017,164,4,Diesel,Automatic,RWD,4,Hatchback,29498,595,Medium
210,Buick,Encore,2018,325,6,Petrol,Automatic,FWD,5,SUV,39769,740,High
211,Cadillac,XT5,2015,137,4,Petrol,CVT,FWD,4,SUV,29757,555,Low
212,Aston Martin,DB11,2016,389,8,Petrol,Automatic,AWD,4,Coupe,36734,713,High
213,Tesla,Model Y,2019,206,4,Petrol,Automatic,FWD,4,Hatchback,34098,633,Medium
214,Cadillac,XT5,2017,191,4,Petrol,Manual,AWD,5,Sedan,32433,655,High
215,Mitsubishi,Lancer,2018,181,4,Diesel,CVT,FWD,4,Sedan,31568,582,Medium
216,Mitsubishi,Eclipse Cross,2023,454,8,Petrol,Automatic,FWD,4,Truck,46622,670,High
217,Tesla,Model X,2019,146,4,Petrol,Automatic,FWD,5,Sedan,30595,651,High
218,Buick,Encore,2022,101,4,Diesel,Automatic,AWD,5,Coupe,33521,666,High
219,Ferrari,488 GTB,2020,295,6,Petrol,Automatic,AWD,4,Sedan,34142,540,Low
220,Toyota,Corolla,2019,254,6,Diesel,Automatic,AWD,4,Hatchback,26304,559,Low
221,Tesla,Model X,2023,332,6,Petrol,Automatic,FWD,5,Hatchback,44338,639,Medium
222,Subaru,WRX,2023,358,6,Petrol,Automatic,FWD,4,Sedan,47507,702,High
223,Audi,Q7,2016,96,4,Hybrid,Automatic,AWD,5,Sedan,19662,609,Medium
224,Toyota,Highlander,2024,386,8,Diesel,Automatic,FWD,5,SUV,44678,680,High
225,Suzuki,Vitara,2017,133,4,Electric,CVT,RWD,4,SUV,17710,464,Low
226,Audi,A6,2023,178,4,Petrol,Automatic,FWD,4,SUV,41146,642,Medium
227,Ford,Escape,2024,390,8,Hybrid,Automatic,RWD,4,Coupe,56972,693,High
228,Mini,Cooper,2018,163,4,Petrol,Automatic,FWD,4,Sedan,27988,556,Low
229,BMW,X3,2018,198,4,Diesel,Automatic,RWD,5,SUV,31610,582,Medium
230,Chevrolet,Tahoe,2015,263,6,Diesel,Automatic,RWD,4,SUV,33587,588,Medium
231,Aston Martin,DB11,2015,347,6,Hybrid,CVT,RWD,4,Coupe,30737,536,Low
232,Honda,CR-V,2016,163,4,Petrol,Automatic,FWD,4,SUV,26116,543,Low
233,Ford,Escape,2017,388,8,Petrol,Automatic,AWD,5,SUV,39205,617,Medium
234,Toyota,Camry,2016,212,6,Petrol,Automatic,FWD,5,Hatchback,26310,445,Low
235,Chevrolet,Equinox,2016,439,8,Hybrid,CVT,AWD,5,Sedan,33685,669,High
236,Lexus,RX,2018,168,4,Petrol,Manual,RWD,5,SUV,26839,529,Low
237,Mercedes,C-Class,2023,157,4,Hybrid,Automatic,RWD,5,SUV,42670,677,High
238,Jeep,Wrangler,2023,630,12,Petrol,CVT,AWD,4,Truck,47303,751,High
239,Mercedes,E-Class,2023,183,4,Petrol,Automatic,RWD,5,Truck,34111,548,Low
240,Volvo,S60,2019,213,4,Petrol,Automatic,RWD,4,Hatchback,30188,534,Low
241,Cadillac,XT5,2016,288,6,Petrol,Automatic,FWD,4,Sedan,28087,581,Medium
242,Buick,Enclave,2024,379,8,Petrol,CVT,FWD,4,Hatchback,53136,694,High
243,Suzuki,Vitara,2022,117,4,Electric,Automatic,FWD,4,Van,26265,631,Medium
244,Mercedes,E-Class,2020,595,12,Petrol,Automatic,RWD,5,SUV,48114,603,Medium
245,Mini,Cooper,2016,138,4,Electric,Manual,FWD,4,SUV,24850,532,Low
246,Tesla,Model Y,2022,260,6,Petrol,CVT,FWD,5,SUV,36693,666,High
247,Tesla,Model X,2015,203,4,Hybrid,CVT,FWD,5,Hatchback,28545,600,Medium
248,Tesla,Model Y,2021,393,8,Petrol,Automatic,FWD,5,SUV,46809,534,Low
249,BMW,5 Series,2022,404,8,Petrol,Automatic,FWD,4,SUV,46243,699,High
250,Honda,Civic,2021,149,4,Petrol,Automatic,RWD,4,Truck,41696,573,Low
251,Mitsubishi,Outlander,2024,486,8,Diesel,Automatic,FWD,4,Hatchback,58243,657,High
252,Porsche,Macan,2016,181,4,Petrol,Automatic,FWD,4,Sedan,27794,524,Low
253,Lexus,NX,2017,260,6,Petrol,CVT,FWD,4,Sedan,25826,544,Low
254,Chevrolet,Silverado,2017,420,8,Hybrid,Automatic,FWD,4,Hatchback,37370,639,Medium
255,Hyundai,Santa Fe,2018,172,4,Hybrid,Automatic,FWD,4,Sedan,30860,548,Low
256,Mitsubishi,Lancer,2018,136,4,Petrol,CVT,FWD,5,Truck,31328,582,Medium
257,Mazda,CX-5,2020,125,4,Petrol,Automatic,FWD,4,SUV,31466,653,High
258,Subaru,Forester,2015,155,4,Petrol,Automatic,FWD,4,SUV,22047,491,Low
259,Lexus,RX,2018,280,6,Petrol,Manual,AWD,4,Sedan,40795,685,High
260,Volvo,S60,2024,174,4,Electric,Automatic,RWD,4,SUV,41671,758,High
261,Nissan,Rogue,2021,598,12,Petrol,CVT,RWD,4,Sedan,51564,681,High
262,Ford,Escape,2017,388,8,Petrol,Automatic,AWD,2,Sedan,33335,534,Low
263,Ram,2500,2020,175,4,Diesel,Automatic,FWD,4,Truck,28169,603,Medium
264,Honda,Pilot,2017,165,4,Electric,Automatic,AWD,4,SUV,30865,675,High
265,Ferrari,Portofino,2023,169,4,Hybrid,Automatic,AWD,4,SUV,37739,638,Medium
266,Aston Martin,Vantage,2016,320,6,Petrol,Automatic,FWD,4,SUV,30528,573,Low
267,Ford,Mustang,2024,90,4,Hybrid,Automatic,AWD,4,Hatchback,39520,773,High
268,Volvo,XC60,2015,131,4,Petrol,Automatic,FWD,4,Hatchback,24544,521,Low
269,Lexus,ES,2019,189,6,Petrol,CVT,FWD,5,SUV,26413,665,High
270,Mini,Countryman,2020,211,4,Petrol,Automatic,FWD,5,Hatchback,35225,588,Medium
271,Ferrari,488 GTB,2015,173,4,Petrol,Automatic,AWD,4,SUV,23117,523,Low
272,Cadillac,XT5,2021,131,4,Hybrid,Manual,FWD,4,Van,42391,627,Medium
273,BMW,X3,2021,127,4,Electric,Automatic,FWD,5,Van,32252,560,Low
274,Audi,A4,2023,162,4,Diesel,Automatic,RWD,4,SUV,45962,693,High
275,Porsche,Panamera,2019,236,4,Electric,Automatic,FWD,4,Sedan,37751,636,Medium
276,Ferrari,488 GTB,2023,275,6,Hybrid,CVT,FWD,4,SUV,44860,792,High
277,Jeep,Grand Cherokee,2022,213,6,Petrol,Automatic,FWD,4,Truck,32009,647,High
278,Toyota,Corolla,2015,164,4,Petrol,Automatic,AWD,4,Truck,20941,507,Low
279,Volkswagen,Tiguan,2021,199,4,Electric,Automatic,FWD,4,SUV,33893,574,Low
280,Ram,ProMaster,2017,122,4,Petrol,Automatic,FWD,4,Sedan,23023,546,Low
281,Ram,3500,2024,241,4,Electric,Manual,FWD,5,Hatchback,46269,703,High
282,Nissan,Altima,2018,181,4,Electric,Manual,AWD,4,Coupe,31942,505,Low
283,Toyota,Camry,2020,138,4,Petrol,Automatic,FWD,2,Sedan,32124,450,Low
284,Ferrari,Portofino,2016,245,6,Diesel,Automatic,FWD,4,Sedan,32162,491,Low
285,Genesis,GV70,2024,311,6,Petrol,CVT,FWD,2,SUV,46443,599,Medium
286,BMW,3 Series,2015,149,4,Hybrid,CVT,FWD,4,Sedan,18993,468,Low
287,Jeep,Cherokee,2018,259,6,Petrol,Automatic,AWD,5,Truck,31909,579,Medium
288,Mazda,Mazda3,2015,224,4,Petrol,Manual,FWD,4,Hatchback,24547,641,Medium
289,Toyota,Highlander,2017,164,4,Petrol,CVT,AWD,4,Sedan,21800,510,Low
290,Jeep,Grand Cherokee,2019,174,4,Petrol,Automatic,FWD,4,Sedan,31184,537,Low
291,Kia,Sorento,2023,319,6,Electric,Automatic,FWD,4,SUV,46096,767,High
292,Aston Martin,Vantage,2020,174,4,Petrol,Manual,AWD,4,SUV,36912,559,Low
293,Ram,2500,2015,150,4,Petrol,Automatic,FWD,5,Truck,26942,486,Low
294,Jeep,Compass,2022,273,6,Hybrid,Automatic,RWD,4,Sedan,40257,638,Medium
